Date,Portfolio_value,Portfolio_value_without_options,Portfolio_cash,Neto_coverage_ratio
1954-03-12,414873.94106767320357756875455379486083984375,427090.740559173,2028490.80055917263962328433990478515625,0.60906895915850243116289542930554
1954-03-13,414873.94106767320357756875455379486083984375,427090.740559173,2028490.80055917263962328433990478515625,0.60906895915850243116289542930554
1954-03-14,414873.94106767320357756875455379486083984375,427090.740559173,2028490.80055917263962328433990478515625,0.60906895915850243116289542930554
1954-03-15,420873.99106767320357756875455379486083984375,434290.800559173,2028490.80055917263962328433990478515625,0.61025211463514468680215822363746
1954-03-16,421374.04106767320357756875455379486083984375,434890.860559173,2028490.80055917263962328433990478515625,0.61035071996278279155723780027649
1954-03-17,418373.94106767320357756875455379486083984375,431290.740559173,2028490.80055917263962328433990478515625,0.60975912743514143627101202238283
1954-03-18,403833.76432135874751293100416660308837890625,422613.738812860,2561013.7388128596358001232147216796875,0.5856718830052564920220268063759
1954-03-19,398233.83432135774751293100416660308837890625,416213.818812859,2561013.7388128596358001232147216796875,0.58473476581465809463353354424
1954-03-20,398233.83432135774751293100416660308837890625,416213.818812859,2561013.7388128596358001232147216796875,0.58473476581465809463353354424
1954-03-21,398233.83432135774751293100416660308837890625,416213.818812859,2561013.7388128596358001232147216796875,0.58473476581465809463353354424
1954-03-22,399633.69432135874751293100416660308837890625,417813.658812860,2561013.7388128596358001232147216796875,0.58496902461261295255085589812830
1954-03-23,411633.76432135874751293100416660308837890625,433013.738812860,2561013.7388128596358001232147216796875,0.5866871059853585871315760762877
1954-03-24,419433.82432135874751293100416660308837890625,443413.818812859,2561013.7388128596358001232147216796875,0.58770233677486813784761914403207
1954-03-25,422433.76432135874751293100416660308837890625,447413.738812860,2561013.7388128596358001232147216796875,0.5880927993424230265140289115502
1954-03-26,414033.82432135874751293100416660308837890625,436213.818812859,2561013.7388128596358001232147216796875,0.58699949009633591815639272640081
1954-03-27,414033.82432135874751293100416660308837890625,436213.818812859,2561013.7388128596358001232147216796875,0.58699949009633591815639272640081
1954-03-28,414033.82432135874751293100416660308837890625,436213.818812859,2561013.7388128596358001232147216796875,0.58699949009633591815639272640081
1954-03-29,408033.76432135874751293100416660308837890625,428213.738812860,2561013.7388128596358001232147216796875,0.5862185415330037740040917978669
1954-03-30,406233.70432135874751293100416660308837890625,425813.658812860,2561013.7388128596358001232147216796875,0.58598425149741891183385586082396
1954-03-31,389133.69432135874751293100416660308837890625,405813.658812860,2561013.7388128596358001232147216796875,0.583211907916282494236259049962
1954-04-01,373033.76432135874751293100416660308837890625,387413.738812860,2561013.7388128596358001232147216796875,0.5805176740293535476196997437467
1954-04-02,370233.83432135874751293100416660308837890625,384213.818812860,2561013.7388128596358001232147216796875,0.58004912129111005427215995594226
1954-04-03,370233.83432135874751293100416660308837890625,384213.818812860,2561013.7388128596358001232147216796875,0.58004912129111005427215995594226
1954-04-04,370233.83432135874751293100416660308837890625,384213.818812860,2561013.7388128596358001232147216796875,0.58004912129111005427215995594226
1954-04-05,366733.76432135874751293100416660308837890625,380213.738812860,2561013.7388128596358001232147216796875,0.5794634040115552180828601172999
1954-04-06,356962.57419441674751293100416660308837890625,372942.548685918,2533742.5486859180964529514312744140625,0.5778971306478324950374427651973
1954-04-07,620552.45157035127422411181032657623291015625,629204.766314353,2255804.8263143529184162616729736328125,0.6447387599088669513274533644
1954-04-08,597552.1235913334761639498174190521240234375,610862.833066585,2801262.7530665849335491657257080078125,0.614245408140649788939764610580
1954-04-09,597552.1235913334761639498174190521240234375,610862.833066585,2801262.7530665849335491657257080078125,0.614245408140649788939764610580
1954-04-10,597552.1235913334761639498174190521240234375,610862.833066585,2801262.7530665849335491657257080078125,0.614245408140649788939764610580
1954-04-11,597552.1235913334761639498174190521240234375,610862.833066585,2801262.7530665849335491657257080078125,0.614245408140649788939764610580
1954-04-12,584252.0535913334761639498174190521240234375,595662.753066585,2801262.7530665849335491657257080078125,0.6122106008046510913560464593179
1954-04-13,579352.1235913334761639498174190521240234375,590062.833066585,2801262.7530665849335491657257080078125,0.61146094959906493098324484549041
1954-04-14,564652.0535913334761639498174190521240234375,573262.753066585,2801262.7530665849335491657257080078125,0.6092119531444826932776066086857
1954-04-15,558351.9835913334761639498174190521240234375,566062.673066585,2801262.7530665849335491657257080078125,0.60824809140140128072190268979
1954-04-16,558351.9835913334761639498174190521240234375,566062.673066585,2801262.7530665849335491657257080078125,0.60824809140140128072190268979
1954-04-17,558351.9835913334761639498174190521240234375,566062.673066585,2801262.7530665849335491657257080078125,0.60824809140140128072190268979
1954-04-18,558351.9835913334761639498174190521240234375,566062.673066585,2801262.7530665849335491657257080078125,0.60824809140140128072190268979
1954-04-19,570952.0535913334761639498174190521240234375,580462.753066585,2801262.7530665849335491657257080078125,0.6101758041781082498028194178175
1954-04-20,571652.0535913334761639498174190521240234375,581262.753066585,2801262.7530665849335491657257080078125,0.6102828987373999783056208410543
1954-04-21,569763.82001168872539751231670379638671875,587902.779218190,3351902.6792181902565062046051025390625,0.5928282857191036416824090058214
1954-04-22,566163.73001168872539751231670379638671875,583902.679218190,3351902.6792181902565062046051025390625,0.5923509329576645069719466574836
1954-04-23,557163.64001168872539751231670379638671875,573902.579218190,3351902.6792181902565062046051025390625,0.59115756895434780326992059159920
1954-04-24,557163.64001168872539751231670379638671875,573902.579218190,3351902.6792181902565062046051025390625,0.59115756895434780326992059159920
1954-04-25,557163.64001168872539751231670379638671875,573902.579218190,3351902.6792181902565062046051025390625,0.59115756895434780326992059159920
1954-04-26,548163.82001168972539751231670379638671875,563902.779218190,3351902.6792181902565062046051025390625,0.58996424075159301840499099026621
1954-04-27,563463.82001168872539751231670379638671875,580902.779218190,3351902.6792181902565062046051025390625,0.5919929392702463968196466014310
1954-04-28,558963.73001168872539751231670379638671875,575902.679218190,3351902.6792181902565062046051025390625,0.5913962513018276557002181953231
1954-04-29,521163.73001168872539751231670379638671875,533902.679218190,3351902.6792181902565062046051025390625,0.5863841726086841865236437689807
1954-04-30,513963.73001168872539751231670379638671875,525902.679218190,3351902.6792181902565062046051025390625,0.5854294909528473352519153068202
1954-05-01,513963.73001168872539751231670379638671875,525902.679218190,3351902.6792181902565062046051025390625,0.5854294909528473352519153068202
1954-05-02,513963.73001168872539751231670379638671875,525902.679218190,3351902.6792181902565062046051025390625,0.5854294909528473352519153068202
1954-05-03,518463.82001168872539751231670379638671875,530902.779218190,3351902.6792181902565062046051025390625,0.5860261789212660763713437129281
1954-05-04,512163.64001168872539751231670379638671875,523902.579218190,3351902.6792181902565062046051025390625,0.58519080860536748282161770309632
1954-05-05,501224.451885519442054890096187591552734375,520678.503868270,3915478.6238682703115046024322509765625,0.572542666994187349516046927507
1954-05-06,761614.496027404917660512030124664306640625,772135.758266157,3623135.7582661570049822330474853515625,0.6137047868529841538910900157276
1954-05-07,749014.496027404917660512030124664306640625,758135.758266157,3623135.7582661570049822330474853515625,0.6121591643939792319575305016436
1954-05-08,749014.496027404917660512030124664306640625,758135.758266157,3623135.7582661570049822330474853515625,0.6121591643939792319575305016436
1954-05-09,749014.496027404917660512030124664306640625,758135.758266157,3623135.7582661570049822330474853515625,0.6121591643939792319575305016436
1954-05-10,751714.406027404917660512030124664306640625,761135.658266157,3623135.7582661570049822330474853515625,0.6124903581664627120547573870653
1954-05-11,763414.496027404917660512030124664306640625,774135.758266157,3623135.7582661570049822330474853515625,0.6139255900614134284530270891681
1954-05-12,742714.586027404917660512030124664306640625,751135.858266157,3623135.7582661570049822330474853515625,0.6113863642046372027364294693408
1954-05-13,757114.586027404917660512030124664306640625,767135.858266157,3623135.7582661570049822330474853515625,0.6131527898720713992319260568653
1954-05-14,735514.586027404917660512030124664306640625,743135.858266157,3623135.7582661570049822330474853515625,0.6105031513709201044886811755785
1954-05-15,735514.586027404917660512030124664306640625,743135.858266157,3623135.7582661570049822330474853515625,0.6105031513709201044886811755785
1954-05-16,735514.586027404917660512030124664306640625,743135.858266157,3623135.7582661570049822330474853515625,0.6105031513709201044886811755785
1954-05-17,731914.496027404917660512030124664306640625,739135.758266157,3623135.7582661570049822330474853515625,0.6100615339139011236191283039582
1954-05-18,731014.496027404917660512030124664306640625,738135.758266157,3623135.7582661570049822330474853515625,0.6099511323096864863381597672379
1954-05-19,742714.586027404917660512030124664306640625,751135.858266157,3623135.7582661570049822330474853515625,0.6113863642046372027364294693408
1954-05-20,1021404.429453197917660512030124664306640625,1057825.691691950,3939825.6916919504292309284210205078125,0.6342477782611835876838389106046
1954-05-21,1004404.429453197917660512030124664306640625,1040825.691691950,3939825.6916919504292309284210205078125,0.6320903224077623944120225544214
1954-05-22,1004404.429453197917660512030124664306640625,1040825.691691950,3939825.6916919504292309284210205078125,0.6320903224077623944120225544214
1954-05-23,1004404.429453197917660512030124664306640625,1040825.691691950,3939825.6916919504292309284210205078125,0.6320903224077623944120225544214
1954-05-24,1003404.429453197917660512030124664306640625,1039825.691691950,3939825.6916919504292309284210205078125,0.6319634132399140889254451217048
1954-05-25,1010404.429453197917660512030124664306640625,1046825.691691950,3939825.6916919504292309284210205078125,0.6328517774148522273314871507214
1954-05-26,986404.429453197917660512030124664306640625,1022825.691691950,3939825.6916919504292309284210205078125,0.6298059573864928956536287655217
1954-05-27,998404.529453198917660512030124664306640625,1034825.791691951,3939825.6916919504292309284210205078125,0.6313288800915894172391303815
1954-05-28,974054.5142480273360036276280879974365234375,1018539.514263029,4521339.634263028390705585479736328125,0.612636917004029672972166959
1954-05-29,974054.5142480273360036276280879974365234375,1018539.514263029,4521339.634263028390705585479736328125,0.612636917004029672972166959
1954-05-30,974054.5142480273360036276280879974365234375,1018539.514263029,4521339.634263028390705585479736328125,0.612636917004029672972166959
1954-05-31,974054.5142480273360036276280879974365234375,1018539.514263029,4521339.634263028390705585479736328125,0.612636917004029672972166959
1954-06-01,1265444.456819117799053184688091278076171875,1303073.096834118,4222073.196834118105471134185791015625,0.65431673446722993686435939928
1954-06-02,1268144.546819117799053184688091278076171875,1306073.196834118,4222073.196834118105471134185791015625,0.654600964499267248762507273607
1954-06-03,1258707.7919826483301980905234813690185546875,1304789.129497648,4802789.129497648216784000396728515625,0.635753316910047277619425083774
1954-06-04,1263707.7919826483301980905234813690185546875,1310789.129497648,4802789.129497648216784000396728515625,0.636169741605380339574671855773
1954-06-05,1263707.7919826483301980905234813690185546875,1310789.129497648,4802789.129497648216784000396728515625,0.636169741605380339574671855773
1954-06-06,1263707.7919826483301980905234813690185546875,1310789.129497648,4802789.129497648216784000396728515625,0.636169741605380339574671855773
1954-06-07,1274707.7919826483301980905234813690185546875,1323989.129497648,4802789.129497648216784000396728515625,0.637085875935113075876214754169
1954-06-08,1339707.7919826483301980905234813690185546875,1401989.129497648,4802789.129497648216784000396728515625,0.642499396974442881294422790147
1954-06-09,793972.7819826853301980905234813690185546875,861454.129497685,4239454.129497685469686985015869140625,0.5964574759527577924154658759407
1954-06-10,778272.7919826863301980905234813690185546875,838654.129497685,4239454.129497685469686985015869140625,0.595443196786465870530901741469
1954-06-11,756672.7919826863301980905234813690185546875,809854.129497685,4239454.129497685469686985015869140625,0.5937448649305074331577796736928
1954-06-12,756672.7919826863301980905234813690185546875,809854.129497685,4239454.129497685469686985015869140625,0.5937448649305074331577796736928
1954-06-13,756672.7919826863301980905234813690185546875,809854.129497685,4239454.129497685469686985015869140625,0.5937448649305074331577796736928
1954-06-14,753072.7019826853301980905234813690185546875,805054.009497686,4239454.129497685469686985015869140625,0.5934618025447984702453603438849
1954-06-15,734172.7919826863301980905234813690185546875,779854.129497685,4239454.129497685469686985015869140625,0.5919757692472175086440238046694
1954-06-16,1005162.644900333524328254163265228271484375,1037580.787415332,3941580.887415331788361072540283203125,0.6332182260636013518903126067067
1954-06-17,1010762.784900333524328254163265228271484375,1045580.987415332,3941580.887415331788361072540283203125,0.633624164707435396940244171000
1954-06-18,1005162.644900333524328254163265228271484375,1037580.787415332,3941580.887415331788361072540283203125,0.6332182260636013518903126067067
1954-06-19,1005162.644900333524328254163265228271484375,1037580.787415332,3941580.887415331788361072540283203125,0.6332182260636013518903126067067
1954-06-20,1005162.644900333524328254163265228271484375,1037580.787415332,3941580.887415331788361072540283203125,0.6332182260636013518903126067067
1954-06-21,1003762.784900333524328254163265228271484375,1035580.987415332,3941580.887415331788361072540283203125,0.633116754087908192946077257279
1954-06-22,1002362.714900333524328254163265228271484375,1033580.887415332,3941580.887415331788361072540283203125,0.6330152668898965521495742872130
1954-06-23,988533.565386299613846980035305023193359375,1026298.930125048,4521898.810125048272311687469482421875,0.615471275892634184259644635272
1954-06-24,975033.485386299613846980035305023193359375,1010698.810125048,4521898.810125048272311687469482421875,0.614210739060797842257962867900
1954-06-25,981633.375386299613846980035305023193359375,1017898.690125048,4521898.810125048272311687469482421875,0.614874166113451686552584694
1954-06-26,981633.375386299613846980035305023193359375,1017898.690125048,4521898.810125048272311687469482421875,0.614874166113451686552584694
1954-06-27,981633.375386299613846980035305023193359375,1017898.690125048,4521898.810125048272311687469482421875,0.614874166113451686552584694
1954-06-28,972833.375386299613846980035305023193359375,1008298.690125048,4521898.810125048272311687469482421875,0.613989581966844172290063543
1954-06-29,956333.485386299613846980035305023193359375,990298.810125048,4521898.810125048272311687469482421875,0.612330997749256874450105421283
1954-06-30,980533.595386299613846980035305023193359375,1016698.930125048,4521898.810125048272311687469482421875,0.6147636152097294330534557351982
1954-07-01,980533.595386299613846980035305023193359375,1016698.930125048,4521898.810125048272311687469482421875,0.6147636152097294330534557351982
1954-07-02,938733.485386299613846980035305023193359375,971098.810125048,4521898.810125048272311687469482421875,0.610561829456041845925063118585
1954-07-03,938733.485386299613846980035305023193359375,971098.810125048,4521898.810125048272311687469482421875,0.610561829456041845925063118585
1954-07-04,938733.485386299613846980035305023193359375,971098.810125048,4521898.810125048272311687469482421875,0.610561829456041845925063118585
1954-07-05,938733.485386299613846980035305023193359375,971098.810125048,4521898.810125048272311687469482421875,0.610561829456041845925063118585
1954-07-06,859578.758043963613846980035305023193359375,888644.082782712,4479044.0827827118337154388427734375,0.6031519299324050904996295523
1954-07-07,1156268.5888826130881270281970500946044921875,1177775.528890112,4171775.62889011204242706298828125,0.645450721329059105698848033855
1954-07-08,1156268.5888826130881270281970500946044921875,1177775.528890112,4171775.62889011204242706298828125,0.645450721329059105698848033855
1954-07-09,1138268.7688826130881270281970500946044921875,1157775.728890112,4171775.62889011204242706298828125,0.643533091832256977972774385150
1954-07-10,1138268.7688826130881270281970500946044921875,1157775.728890112,4171775.62889011204242706298828125,0.643533091832256977972774385150
1954-07-11,1138268.7688826130881270281970500946044921875,1157775.728890112,4171775.62889011204242706298828125,0.643533091832256977972774385150
1954-07-12,1140068.5888826130881270281970500946044921875,1159775.528890112,4171775.62889011204242706298828125,0.643724837523099115071929984302
1954-07-13,1149068.6788826130881270281970500946044921875,1169775.628890112,4171775.62889011204242706298828125,0.64468367144798692968324655
1954-07-14,1142768.6788826130881270281970500946044921875,1162775.628890112,4171775.62889011204242706298828125,0.64401249441233582221722286
1954-07-15,1133768.5888826130881270281970500946044921875,1152775.528890112,4171775.62889011204242706298828125,0.643053660487448007605906298365
1954-07-16,1145468.7688826130881270281970500946044921875,1165775.728890112,4171775.62889011204242706298828125,0.644300151301572529362515740507
1954-07-17,1145468.7688826130881270281970500946044921875,1165775.728890112,4171775.62889011204242706298828125,0.644300151301572529362515740507
1954-07-18,1145468.7688826130881270281970500946044921875,1165775.728890112,4171775.62889011204242706298828125,0.644300151301572529362515740507
1954-07-19,1152668.6788826130881270281970500946044921875,1173775.628890112,4171775.62889011204242706298828125,0.64506720118264470537811723
1954-07-20,1463158.6099522159771366603672504425048828125,1478237.310228465,3865437.31022846512496471405029296875,0.69558424944926823363507094440
1954-07-21,1449858.5399522169771366603672504425048828125,1463037.230228465,3865437.31022846512496471405029296875,0.694109634925080448326304017945
1954-07-22,1433058.6099522159771366603672504425048828125,1443837.310228465,3865437.31022846512496471405029296875,0.69224698151172728030277929418
1954-07-23,1430258.6799522159771366603672504425048828125,1440637.390228465,3865437.31022846512496471405029296875,0.691936545743741997550087896094
1954-07-24,1430258.6799522159771366603672504425048828125,1440637.390228465,3865437.31022846512496471405029296875,0.691936545743741997550087896094
1954-07-25,1430258.6799522159771366603672504425048828125,1440637.390228465,3865437.31022846512496471405029296875,0.691936545743741997550087896094
1954-07-26,1428158.6099522159771366603672504425048828125,1438237.310228465,3865437.31022846512496471405029296875,0.69170370533584852045798763019
1954-07-27,1415558.6099522159771366603672504425048828125,1423837.310228465,3865437.31022846512496471405029296875,0.69030670945501742371423763707
1954-07-28,1400152.7893124323845902867615222930908203125,1416623.239588681,4474623.239588680677115917205810546875,0.663725878262252076432560140440
1954-07-29,1390252.6993124313845902867615222930908203125,1405623.139588681,4474623.239588680677115917205810546875,0.66274254631129110554082031761
1954-07-30,1373152.8793124323845902867615222930908203125,1386623.339588681,4474623.239588680677115917205810546875,0.6610440971697498546968619267
1954-07-31,1373152.8793124323845902867615222930908203125,1386623.339588681,4474623.239588680677115917205810546875,0.6610440971697498546968619267
1954-08-01,1373152.8793124323845902867615222930908203125,1386623.339588681,4474623.239588680677115917205810546875,0.6610440971697498546968619267
1954-08-02,1363252.7893124323845902867615222930908203125,1375623.239588681,4474623.239588680677115917205810546875,0.660060765218788883805122103824
1954-08-03,1677442.7178640889880750440061092376708984375,1682598.055364088,4156998.055364088155329227447509765625,0.709068904076243202871258291952
1954-08-04,1679542.7178640889880750440061092376708984375,1684998.055364088,4156998.055364088155329227447509765625,0.709285406462824467231615384343
1954-08-05,1688642.7178640889880750440061092376708984375,1695398.055364088,4156998.055364088155329227447509765625,0.710223583471343279459829451369
1954-08-06,1713942.7778640889880750440061092376708984375,1726598.135364088,4156998.055364088155329227447509765625,0.7125570028934388349636319013203
1954-08-07,1713942.7778640889880750440061092376708984375,1726598.135364088,4156998.055364088155329227447509765625,0.7125570028934388349636319013203
1954-08-08,1713942.7778640889880750440061092376708984375,1726598.135364088,4156998.055364088155329227447509765625,0.7125570028934388349636319013203
1954-08-09,1729542.6578640889880750440061092376708984375,1747397.975364088,4156998.055364088155329227447509765625,0.7138078959491356164724541934284
1954-08-10,1714542.6578640889880750440061092376708984375,1727397.975364088,4156998.055364088155329227447509765625,0.7126051049125730366926925690359
1954-08-11,1692142.7878640889880750440061092376708984375,1699398.135364088,4156998.055364088155329227447509765625,0.71058442799905833549967753
1954-08-12,1701242.7178640889880750440061092376708984375,1709798.055364088,4156998.055364088155329227447509765625,0.711522597790830865621972005713
